,createdAt,territories,departement
3102,2021-06,['95'],95
3103,2021-06,['95'],95
3104,2021-06,['95'],95
3105,2021-06,['95'],95
3106,2021-06,['95'],95
3107,2021-06,['95'],95
3108,2021-06,['95'],95
3109,2021-06,['95'],95
3110,2021-06,['95'],95
3111,2021-06,['95'],95
3112,2021-06,['95'],95
3113,2021-06,['95'],95
3114,2021-06,['95'],95
3115,2021-06,['95'],95
3116,2021-06,['95'],95
3117,2021-06,['95'],95
3118,2021-06,['75'],75
3119,2021-06,['95'],95
3120,2021-06,['95'],95
3121,2021-06,['95'],95
3122,2021-06,['95'],95
3123,2021-06,['95'],95
3124,2021-06,['95'],95
3125,2021-06,['95'],95
3126,2021-06,['95'],95
3127,2021-06,['95'],95
3128,2021-06,['95'],95
3129,2021-06,['95'],95
3130,2021-06,['95'],95
3131,2021-06,['95'],95
3132,2021-06,['95'],95
3133,2021-06,['95'],95
3134,2021-06,['95'],95
3135,2021-06,['95'],95
3136,2021-06,['95'],95
3137,2021-06,['92'],92
3138,2021-06,['95'],95
3139,2021-06,['95'],95
3140,2021-06,['91'],91
3141,2021-06,['77'],77
3142,2021-06,['75'],75
3143,2021-06,['75'],75
3144,2021-06,['77'],77
3145,2021-06,['77'],77
3146,2021-06,['77'],77
3147,2021-06,['77'],77
3148,2021-06,['77'],77
3149,2021-06,['33'],33
3150,2021-06,['75'],75
3151,2021-06,['77'],77
3152,2021-06,['95'],95
3153,2021-06,['91'],91
3154,2021-06,['95'],95
3155,2021-06,['95'],95
3156,2021-06,['95'],95
3157,2021-06,['75'],75
3158,2021-06,['67'],67
3159,2021-06,['67'],67
3160,2021-06,['67'],67
3161,2021-06,['92'],92
3162,2021-06,['92'],92
3163,2021-06,['91'],91
3164,2021-06,['67'],67
3165,2021-06,['75'],75
3166,2021-06,['75'],75
3167,2021-06,['75'],75
3168,2021-06,['75'],75
3169,2021-06,['44'],44
3170,2021-06,['75'],75
3171,2021-06,['92'],92
3172,2021-06,['92'],92
3173,2021-06,['75'],75
3174,2021-06,['75'],75
3175,2021-06,['75'],75
3176,2021-06,['77'],77
3177,2021-06,['94'],94
3178,2021-06,['94'],94
3179,2021-06,['94'],94
3180,2021-06,['78'],78
3181,2021-06,['78'],78
3182,2021-06,['78'],78
3183,2021-06,['78'],78
3184,2021-06,['78'],78
3185,2021-06,['78'],78
3186,2021-06,['78'],78
3187,2021-06,['95'],95
3188,2021-06,['77'],77
3189,2021-06,['77'],77
3190,2021-06,['77'],77
3191,2021-06,['67'],67
3192,2021-06,['92'],92
3193,2021-06,['95'],95
3194,2021-06,['77'],77
3195,2021-06,['91'],91
3196,2021-06,['91'],91
3197,2021-06,['91'],91
3198,2021-06,['77'],77
3199,2021-06,['06'],06
3200,2021-06,['77'],77
3201,2021-06,['77'],77
3202,2021-06,['77'],77
3203,2021-06,['92'],92
3204,2021-06,['77'],77
3205,2021-06,['92'],92
3206,2021-06,['77'],77
3207,2021-06,['95'],95
3208,2021-06,['77'],77
3209,2021-06,['06'],06
3210,2021-06,['77'],77
3211,2021-06,['91'],91
3212,2021-06,['75'],75
3213,2021-06,['75'],75
3214,2021-06,['75'],75
3215,2021-06,['77'],77
3216,2021-06,['91'],91
3217,2021-06,['77'],77
3218,2021-06,['77'],77
3219,2021-06,['77'],77
3220,2021-06,['06'],06
3221,2021-06,['78'],78
3222,2021-06,['94'],94
3223,2021-06,['75'],75
3224,2021-06,['06'],06
3225,2021-06,['06'],06
3226,2021-06,['06'],06
3227,2021-06,['06'],06
3228,2021-06,['06'],06
3229,2021-06,['06'],06
3230,2021-06,['06'],06
3231,2021-06,['06'],06
3232,2021-06,['06'],06
3233,2021-06,['06'],06
3234,2021-06,['06'],06
3235,2021-06,['06'],06
3236,2021-06,['06'],06
3237,2021-06,['06'],06
3238,2021-06,['06'],06
3239,2021-06,['06'],06
3240,2021-06,['06'],06
3241,2021-06,['06'],06
3242,2021-06,['06'],06
3243,2021-06,['06'],06
3244,2021-06,['06'],06
3245,2021-06,['06'],06
3246,2021-06,['06'],06
3247,2021-06,['92'],92
3248,2021-06,['06'],06
3249,2021-06,['06'],06
3250,2021-06,['06'],06
3251,2021-06,['06'],06
3252,2021-06,['06'],06
3253,2021-06,['06'],06
3254,2021-06,['06'],06
3255,2021-06,['06'],06
3256,2021-06,['06'],06
3257,2021-06,['06'],06
3258,2021-06,['06'],06
3259,2021-06,['06'],06
3260,2021-06,['06'],06
3261,2021-06,['06'],06
3262,2021-06,['06'],06
3263,2021-06,['06'],06
3264,2021-06,['06'],06
3265,2021-06,['06'],06
3266,2021-06,['06'],06
3267,2021-06,['06'],06
3268,2021-06,['06'],06
3269,2021-06,['06'],06
3270,2021-06,['06'],06
3271,2021-06,['06'],06
3272,2021-06,['06'],06
3273,2021-06,['06'],06
3274,2021-06,['06'],06
3275,2021-06,['06'],06
3276,2021-06,['06'],06
3277,2021-06,['06'],06
3278,2021-06,['06'],06
3279,2021-06,['77'],77
3280,2021-06,['44'],44
3281,2021-06,['44'],44
3282,2021-06,['77'],77
3283,2021-06,['77'],77
3284,2021-06,['91'],91
3285,2021-06,['92'],92
3286,2021-06,['92'],92
3287,2021-06,['92'],92
3288,2021-06,['06'],06
3289,2021-06,['77'],77
3290,2021-06,['77'],77
3291,2021-06,['77'],77
3292,2021-06,['44'],44
3293,2021-07,['44'],44
3294,2021-07,['91'],91
3295,2021-07,['95'],95
3296,2021-07,['44'],44
3297,2021-07,['44'],44
3298,2021-07,['44'],44
3299,2021-07,['77'],77
3300,2021-07,['95'],95
3301,2021-07,['95'],95
3302,2021-07,['95'],95
3303,2021-07,['77'],77
3304,2021-07,['94'],94
3305,2021-07,['77'],77
3306,2021-07,['33'],33
3307,2021-07,['94'],94
3308,2021-07,['95'],95
3309,2021-07,['75'],75
3310,2021-07,['75'],75
3311,2021-07,['06'],06
3312,2021-07,['75'],75
3313,2021-07,['33'],33
3314,2021-07,['95'],95
3315,2021-07,['95'],95
3316,2021-07,['95'],95
3317,2021-07,['93'],93
3318,2021-07,['75'],75
3319,2021-07,['75'],75
3320,2021-07,['75'],75
3321,2021-07,['75'],75
3322,2021-07,['06'],06
3323,2021-07,['06'],06
3324,2021-07,['94'],94
3325,2021-07,['06'],06
3326,2021-07,['77'],77
3327,2021-07,['95'],95
3328,2021-07,['95'],95
3329,2021-07,['92'],92
3330,2021-07,['91'],91
3331,2021-07,['06'],06
3332,2021-07,['75'],75
3333,2021-07,['44'],44
3334,2021-07,['94'],94
3335,2021-07,['94'],94
3336,2021-07,['75'],75
3337,2021-07,['94'],94
3338,2021-07,['75'],75
3339,2021-07,['75'],75
3340,2021-07,['44'],44
3341,2021-07,['44'],44
3342,2021-07,['44'],44
3343,2021-07,['44'],44
3344,2021-07,['77'],77
3345,2021-07,['95'],95
3346,2021-07,['95'],95
3347,2021-07,['95'],95
3348,2021-07,['92'],92
3349,2021-07,['92'],92
3350,2021-07,['92'],92
3351,2021-07,['92'],92
3352,2021-07,['92'],92
3353,2021-07,['92'],92
3354,2021-07,['91'],91
3355,2021-07,['77'],77
3356,2021-07,['67'],67
3357,2021-07,['77'],77
3358,2021-07,['06'],06
3359,2021-07,['67'],67
3360,2021-07,['67'],67
3361,2021-07,['77'],77
3362,2021-07,['77'],77
3363,2021-07,['44'],44
3364,2021-07,['06'],06
3365,2021-07,['77'],77
3366,2021-07,['67'],67
3367,2021-07,['67'],67
3368,2021-07,['75'],75
3369,2021-07,['77'],77
3370,2021-07,['33'],33
3371,2021-07,['67'],67
3372,2021-07,['67'],67
3373,2021-07,['06'],06
3374,2021-07,['77'],77
3375,2021-07,['77'],77
3376,2021-07,['67'],67
3377,2021-07,['77'],77
3378,2021-07,['33'],33
3379,2021-07,['67'],67
3380,2021-07,['33'],33
3381,2021-07,['44'],44
3382,2021-07,['77'],77
3383,2021-07,['77'],77
3384,2021-07,['77'],77
3385,2021-07,['95'],95
3386,2021-07,['95'],95
3387,2021-07,['06'],06
3388,2021-07,['06'],06
3389,2021-07,['95'],95
3390,2021-07,['91'],91
3391,2021-07,['91'],91
3392,2021-07,['91'],91
3393,2021-07,['91'],91
3394,2021-07,['33'],33
3395,2021-07,['91'],91
3396,2021-07,['95'],95
3397,2021-07,['06'],06
3398,2021-08,['67'],67
3399,2021-08,['67'],67
3400,2021-08,['77'],77
3401,2021-08,['91'],91
3402,2021-08,['91'],91
3403,2021-08,['91'],91
3404,2021-08,['33'],33
3405,2021-08,['33'],33
3406,2021-08,['33'],33
3407,2021-08,['77'],77
3408,2021-08,['77'],77
3409,2021-08,['77'],77
3410,2021-08,['77'],77
3411,2021-08,['77'],77
3412,2021-08,['33'],33
3413,2021-08,['94'],94
3414,2021-08,['78'],78
3415,2021-08,['91'],91
3416,2021-08,['93'],93
3417,2021-08,['33'],33
3418,2021-08,['95'],95
3419,2021-08,['77'],77
3420,2021-08,['75'],75
3421,2021-08,['67'],67
3422,2021-08,['67'],67
3423,2021-08,['92'],92
3424,2021-08,['67'],67
3425,2021-08,['67'],67
3426,2021-08,['33'],33
3427,2021-08,['33'],33
3428,2021-08,['33'],33
3429,2021-08,['67'],67
3430,2021-08,['67'],67
3431,2021-08,['67'],67
3432,2021-08,['67'],67
3433,2021-08,['67'],67
3434,2021-08,['67'],67
3435,2021-08,['67'],67
3436,2021-08,['67'],67
3437,2021-08,['67'],67
3438,2021-08,['67'],67
3439,2021-08,['67'],67
3440,2021-08,['92'],92
3441,2021-08,['67'],67
3442,2021-08,['67'],67
3443,2021-08,['77'],77
3444,2021-08,['63'],63
3445,2021-08,['77'],77
3446,2021-08,['33'],33
3447,2021-08,['06'],06
3448,2021-08,['91'],91
3449,2021-08,['91'],91
3450,2021-08,['91'],91
3451,2021-08,['91'],91
3452,2021-08,['91'],91
3453,2021-08,['91'],91
3454,2021-08,['78'],78
3455,2021-08,['33'],33
3456,2021-08,['91'],91
3457,2021-08,['77'],77
3458,2021-08,['91'],91
3459,2021-08,['33'],33
3460,2021-08,['33'],33
3461,2021-08,['92'],92
3462,2021-08,['91'],91
3463,2021-08,['06'],06
3464,2021-08,['91'],91
3465,2021-08,['77'],77
3466,2021-08,['33'],33
3467,2021-08,['77'],77
3468,2021-08,['77'],77
3469,2021-08,['77'],77
3470,2021-08,['77'],77
3471,2021-08,['77'],77
3472,2021-08,['77'],77
3473,2021-08,['77'],77
3474,2021-08,['77'],77
3475,2021-08,['06'],06
3476,2021-08,['33'],33
3477,2021-08,['95'],95
3478,2021-08,['93'],93
3479,2021-09,['78'],78
3480,2021-09,['95'],95
3481,2021-09,['75'],75
3482,2021-09,['75'],75
3483,2021-09,['75'],75
3484,2021-09,['94'],94
3485,2021-09,['93'],93
3486,2021-09,['06'],06
3487,2021-09,['78'],78
3488,2021-09,['77'],77
3489,2021-09,['91'],91
3490,2021-09,['67'],67
3491,2021-09,['92'],92
3492,2021-09,['77'],77
3493,2021-09,['77'],77
3494,2021-09,['77'],77
3495,2021-09,['77'],77
3496,2021-09,['94'],94
3497,2021-09,['77'],77
3498,2021-09,['94'],94
3499,2021-09,['94'],94
3500,2021-09,['75'],75
3501,2021-09,['78'],78
3502,2021-09,['78'],78
3503,2021-09,['91'],91
3504,2021-09,['13'],13
3505,2021-09,['13'],13
3506,2021-09,['06'],06
3507,2021-09,['78'],78
3508,2021-09,['75'],75
3509,2021-09,['91'],91
3510,2021-09,['06'],06
3511,2021-09,['44'],44
3512,2021-09,['95'],95
3513,2021-09,['15'],15
3514,2021-09,['13'],13
3515,2021-09,['13'],13
3516,2021-09,['13'],13
3517,2021-09,['13'],13
3518,2021-09,['13'],13
3519,2021-09,['13'],13
3520,2021-09,['13'],13
3521,2021-09,['13'],13
3522,2021-09,['13'],13
3523,2021-09,['13'],13
3524,2021-09,['13'],13
3525,2021-09,['13'],13
3526,2021-09,['13'],13
3527,2021-09,['13'],13
3528,2021-09,['13'],13
3529,2021-09,['13'],13
3530,2021-09,['13'],13
3531,2021-09,['13'],13
3532,2021-09,['67'],67
3533,2021-09,['36'],36
3534,2021-09,['95'],95
3535,2021-09,['95'],95
