,departement,statut,Nb_services,territory
896,Paris,1,1,75
897,Paris,1,1,75
898,Paris,1,1,75
899,Paris,1,1,75
900,Paris,1,1,75
901,Paris,1,1,75
902,Paris,1,1,75
903,Paris,1,1,75
904,Paris,1,1,75
905,Seine-Saint-Denis,1,1,93
906,Paris,1,1,75
907,Paris,1,1,75
908,Paris,1,1,75
909,Paris,1,1,75
910,Paris,1,1,75
911,Paris,1,1,75
912,Paris,1,1,75
913,Paris,1,1,75
914,Paris,1,1,75
915,Paris,1,1,75
916,Paris,1,1,75
917,Paris,1,1,75
918,Paris,1,1,75
919,Paris,1,1,75
920,Paris,1,1,75
921,Paris,1,1,75
922,Paris,1,1,75
923,Paris,1,1,75
924,Paris,1,1,75
925,Paris,1,1,75
926,Paris,1,1,75
927,Paris,1,1,75
928,Paris,1,1,75
929,Paris,1,1,75
930,Paris,1,1,75
931,Paris,1,1,75
932,Paris,1,1,75
933,Paris,1,1,75
934,Paris,1,1,75
935,Paris,1,1,75
936,Paris,1,1,75
937,Paris,1,1,75
938,Paris,1,1,75
939,Paris,1,1,75
940,Paris,1,1,75
941,Paris,1,1,75
942,Paris,1,1,75
943,Paris,1,1,75
944,Paris,1,1,75
945,Paris,1,1,75
946,Paris,1,1,75
947,Paris,1,1,75
948,Paris,1,1,75
949,Paris,1,1,75
950,Paris,1,1,75
951,Paris,1,1,75
952,Paris,1,1,75
953,Paris,1,1,75
954,Paris,1,1,75
955,Paris,1,1,75
956,Paris,1,1,75
957,Paris,1,1,75
958,Paris,1,1,75
959,Paris,1,1,75
960,Paris,1,1,75
961,Paris,1,1,75
962,Paris,1,1,75
963,Paris,1,1,75
964,Paris,1,1,75
965,Paris,1,1,75
966,Paris,1,1,75
967,Paris,1,1,75
968,Paris,1,1,75
969,Paris,1,1,75
970,Paris,1,1,75
971,Paris,1,1,75
972,Paris,1,1,75
973,Paris,1,1,75
974,Paris,1,1,75
975,Paris,1,1,75
976,Paris,1,1,75
977,Paris,1,1,75
978,Paris,1,1,75
979,Paris,1,1,75
980,Paris,1,1,75
981,Paris,1,1,75
982,Paris,1,1,75
983,Paris,1,1,75
984,Paris,1,1,75
985,Paris,1,1,75
986,Paris,1,1,75
987,Paris,1,1,75
988,Paris,1,1,75
