,monthly,lieu_id,territoire,check,status_PRO
21679,2021-03,3525,78,2021-033525,1
21687,2021-03,3540,78,2021-033540,1
21698,2021-03,7192,78,2021-037192,1
21713,2021-03,7194,78,2021-037194,1
21727,2021-03,4117,78,2021-034117,1
21766,2021-03,3541,78,2021-033541,1
21779,2021-03,4409,78,2021-034409,1
21783,2021-03,3538,78,2021-033538,1
21788,2021-03,6685,78,2021-036685,1
21797,2021-03,6978,78,2021-036978,1
21800,2021-03,3539,78,2021-033539,1
21803,2021-03,6695,78,2021-036695,1
21814,2021-03,8621,94,2021-038621,1
21828,2021-03,8624,94,2021-038624,1
21845,2021-03,3799,78,2021-033799,1
21894,2021-03,3542,78,2021-033542,1
21908,2021-03,3543,78,2021-033543,1
21921,2021-03,7204,78,2021-037204,1
21931,2021-03,3606,78,2021-033606,1
21937,2021-03,3544,78,2021-033544,1
21941,2021-03,6688,78,2021-036688,1
21943,2021-03,6686,78,2021-036686,1
21948,2021-03,6687,78,2021-036687,1
21979,2021-03,7226,78,2021-037226,1
21986,2021-03,7225,78,2021-037225,1
21993,2021-03,6070,78,2021-036070,1
22101,2021-03,3119,93,2021-033119,1
22198,2021-03,11476,94,2021-0311476,1
22363,2021-03,11222,67,2021-0311222,1
22371,2021-03,15,75,2021-0315,1
22426,2021-03,7497,94,2021-037497,1
22460,2021-03,6654,92,2021-036654,1
22470,2021-03,11477,92,2021-0311477,1
22486,2021-03,11363,92,2021-0311363,1
22532,2021-03,9744,78,2021-039744,1
22570,2021-03,11495,78,2021-0311495,1
22594,2021-03,11497,78,2021-0311497,1
22618,2021-03,2338,67,2021-032338,1
22726,2021-03,10518,95,2021-0310518,1
22755,2021-03,4938,75,2021-034938,1
22776,2021-03,11448,95,2021-0311448,1
22860,2021-03,11502,92,2021-0311502,1
22863,2021-03,33,75,2021-0333,1
22943,2021-03,7091,78,2021-037091,1
22946,2021-03,7092,78,2021-037092,1
22961,2021-03,9526,78,2021-039526,1
22963,2021-03,5945,78,2021-035945,1
22968,2021-03,2440,75,2021-032440,1
22972,2021-03,3512,78,2021-033512,1
22973,2021-03,2470,75,2021-032470,1
22974,2021-03,5720,75,2021-035720,1
22976,2021-03,3058,92,2021-033058,1
22978,2021-03,7224,75,2021-037224,1
22986,2021-03,32,75,2021-0332,1
22991,2021-03,10676,75,2021-0310676,1
22993,2021-03,3834,92,2021-033834,1
22994,2021-03,5958,78,2021-035958,1
22999,2021-03,41,75,2021-0341,1
23001,2021-03,333,75,2021-03333,1
23002,2021-03,4472,92,2021-034472,1
23015,2021-03,326,75,2021-03326,1
23021,2021-03,6952,94,2021-036952,1
23022,2021-03,327,75,2021-03327,1
23023,2021-03,7072,94,2021-037072,1
23025,2021-03,7813,94,2021-037813,1
23028,2021-03,328,75,2021-03328,1
23035,2021-03,329,75,2021-03329,1
23039,2021-03,330,75,2021-03330,1
23040,2021-03,5099,75,2021-035099,1
23044,2021-03,5475,75,2021-035475,1
23049,2021-03,3082,92,2021-033082,1
23052,2021-03,11505,75,2021-0311505,1
23055,2021-03,6755,78,2021-036755,1
23059,2021-03,210,75,2021-03210,1
23071,2021-03,11506,75,2021-0311506,1
23086,2021-03,6062,78,2021-036062,1
23102,2021-03,9639,94,2021-039639,1
23107,2021-03,7006,78,2021-037006,1
23112,2021-03,0,75,2021-030,1
23114,2021-03,7007,78,2021-037007,1
23115,2021-03,7008,78,2021-037008,1
23120,2021-03,7005,78,2021-037005,1
23123,2021-03,5953,78,2021-035953,1
23144,2021-03,136,93,2021-03136,1
23161,2021-03,898,75,2021-03898,1
23171,2021-03,3482,94,2021-033482,1
23183,2021-03,4476,94,2021-034476,1
23186,2021-03,10161,92,2021-0310161,1
23198,2021-03,6833,94,2021-036833,1
23200,2021-03,5612,75,2021-035612,1
23221,2021-03,2832,92,2021-032832,1
23224,2021-03,3677,92,2021-033677,1
23236,2021-03,2555,75,2021-032555,1
23249,2021-03,4679,92,2021-034679,1
23255,2021-03,1282,75,2021-031282,1
23259,2021-03,1229,75,2021-031229,1
23265,2021-03,3198,92,2021-033198,1
23280,2021-03,2803,93,2021-032803,1
23327,2021-03,6596,78,2021-036596,1
23352,2021-03,7165,78,2021-037165,1
23356,2021-03,7082,78,2021-037082,1
23364,2021-03,10714,75,2021-0310714,1
